town ,restaurant visited,date,count,meal,notes,
Abington,Yaz's Table,"May 28, 2023",104,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02viMsvGHy92B1P7vdrCUEdTpJrVSm8yQuWsbG9CCHtruXj7ABTfhbAuk564SBNkLZl,"we didn't like this one - it was Egyptian which did not make for a good breakfast. also, SO LOUD! and they wouldn't give us salt and pepper. "
Acton,True West,"Mar 6, 2022",60,lunch,,
Acushnet,The Mill Restaurant,"May 17, 2025",275,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0N97ujaJKQbf8Vk42ZS9L7QtqsNU557RxeP5sfryWgegPixPFEUPAZcxg8TGH7VSVl,
Adams,AJ's Trailside Pub,"April 22, 2025",270,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02UQLZYuBLsEuDngLAHu5WhDQKca3yeSEHFMCx7WUNHzDGzBZbmsy4oQLuDgbrwSfQl,
Agawam,Six Flags,,,,,
Amesbury,Sally & David's house`,,,,Matt & Nina's wedding reception,
Amherst,Harp Irish Pub,"November 26, 2023",173,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0CvfrwcnwttEAysX6raaqB2UdweeHbax3aXdAeiFk5dvp5SiLY8J7fJ7APVPfk6Fgl?notif_id=1701029688159601&notif_t=feedback_reaction_generic&ref=notif,
Andover,,,,,,
Aquinnah,Orange Peel Bakery,"July 21, 2023",132,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid02kpcjeX9BxFrjQfJow87Top2A1v8H589EuJQ1kiVAZ9KmwifJSFBpdqLGZE97isozl,
Arlington,Menotony Grille,"February 23, 2024",195,supper,with Jeb and Michelle,https://www.facebook.com/jessicaebowen/posts/pfbid0bLRuc5jZehhPACxruK3ZaST7PF9pfmbvXSqoc1KXV1LivkcuAc8t3ktwjVKpV1bWl
Ashburnham,The Ramble,"August 24, 2024",235,supper,picnic at the music festival ,https://www.facebook.com/jessicaebowen/posts/pfbid02pHThbe3s4ikjJtik87W6CrgJ2dGht4VFpwweUSqKjrYoDG1hghgXLMu9HcK8z6VXl?notif_id=1724540530459280&notif_t=feedback_reaction_generic&ref=notif
Ashby,Smith Hill Tavern,"December 6, 2023",176,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02GL8LEsmcsQ7r1QC7d8FN3rZo5n8i8sgrhBfkmonRq7sbS9Eq5RLive8zUWz9Csyvl,
Ashland,Oregon Club,"March 28, 2014",45,,,
Athol,Los Agaves,"July 17, 2024",226,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0vffPaussrFQqxZAsiYkvznF9eY26NnLbMNJRURfxBqtH9EjChJUjLsGLx2rAc7pyl,
Attleboro,Burgundian,"December 29, 2023",180,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0W6MhgTDYwVRBXgFWG4EaS1xpcq5rWdQK4wVZakCs3yPmKGFr9AiQTVWKhh8chD6Gl,
Auburn,,,,,,
Avon,Ben's Pour House,"March 24, 2024",203,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid02McQxHM1w7smoNF6ixdmqccmnF3cAg3ZUjvoAvE2WgJkjqGkb6kFPVbGAQYgMaHxyl?notif_id=1711303377990718&notif_t=feedback_reaction_generic&ref=notif,
Ayer,Lucia Tavola,"June 2, 2023",106,supper,https://www.facebook.com/jessicaebowen/posts/pfbid0NWn5kT7oRP8QRhCBJzGNYCFnu496QHxeCKiNeafwWAV3myq1NXqQxixqyxUt3m6Kl,
Barnstable,Spanky's Clam Shack,"July 10, 2024",224,supper,https://www.facebook.com/jessicaebowen/posts/pfbid031hMk78kwNxose1zWkAD5me3mrnWMPWf3PMeEaW719ETrjDLo1U8EfyrPZ6xdH3F9l,
Barre,Stone Cow brewing,"Jul 1, 2022",,lunch,numbering is off because we never posted this visit but Chris has pics on his phone,
Becket,Neon Newt Cafe,"November 8, 2025",292,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid0c8859ccUUcdRphsV8vtKmEn39DNxrcf2JG8dXugBorsXfnpWwzzX1D77VHasx5zrl,
Bedford,Peppers Grille,"November 25, 2023",172,supper,https://www.facebook.com/jessicaebowen/posts/pfbid031f3fMSYaaW1BioS5bBjTwjXKnpfU7in41y3ujiw5WKQUhsGafyZz9t26jaHWN947l,
Belchertown,McCarthy's Pub,"November 1, 2023",163,supper,https://www.facebook.com/jessicaebowen/posts/pfbid033ji6ZPn7tES1MMTpx98DqQkGNfZFtLrxY5fQgPcSzN4Tmp6pbD52rewgrBBr4W41l,
Bellingham,Bellingham Palace,,,,,
Belmont,Trinktisch,"October 8, 2023",153,lunch,https://www.facebook.com/jessicaebowen/posts/pfbid0XqzHFuzMn9ivGyFYDnn8UZRTTvVVb5vck4AAXKkoPrkcnYsRQQAsLNP1ZVZiTMpJl,
Berkley,Boondocks,"October 22, 2023",159,breakfast,https://www.facebook.com/jessicaebowen/posts/pfbid02WKkYaEDhyjgnWkWxp8EHt7EeirtVDfbjSe6zVzmvVcYeb1xnsYwHGVedXEB9Tuhyl,
Berlin,,,,,,
Bernardston,The Farm Table,"March 9, 2025",263,brunch,https://www.facebook.com/jessicaebowen/posts/pfbid02fsjVnSJFQR5kej1Vy4iaht8pdLx1YevM1hALgiT5BezdkFK7hUJ9mgMxGZ9kWGwql,
Billerica,Mangia Mangia,"June 8, 2023",108,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02jrgGipY3TLib8it5cqVez6DRpamoAgKmRrDTN2zUm2QcpdaXgwoMHtPJ5oXycvd1l,
Blackstone,Roast House ,"October 13, 2023",155,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02gC1TZ6Gr5YudzxYLQxurGLF4CD3LxcCnaijWijWfP4CdKJhmPjbF5dmtdgzxjeUyl,
Blandford,Blandford Fair,"August 31, 2025",284,supper,https://www.facebook.com/jessicaebowen/posts/pfbid02CXmen6RexSVu8tSBN1gjWkWkKH9eiQXvqGPjww3kdvimQMkJTRvJdtJ6WLCuWh6dl,
Bolton,Bolton Bean,,,,,
Boston,Hotel Commonwealth,"December 1, 2017",49,,,
